Federative_Unit,NM_MUN,Lula_votes,Lula_per,Jair_votes,Jair_per
Bahia,Medeiros Neto,8293,59.64,5612,40.36
Bahia,Miguel Calmon,10816,71.55,4300,28.45
Bahia,Milagres,5062,75.27,1663,24.73
Bahia,Mirangaba,7248,79.6,1858,20.4
Bahia,Mirante,4783,82.03,1048,17.97
Bahia,Monte Santo,27549,88.03,3746,11.97
Bahia,Morpará,4196,73.68,1499,26.32
Bahia,Morro Do Chapéu,15165,78.59,4131,21.41
Bahia,Mortugaba,4296,63.43,2477,36.57
Bahia,Mucugê,4977,67.18,2432,32.82
Bahia,Mucuri,11370,56.1,8897,43.9
Bahia,Mulungu Do Morro,7279,88.73,925,11.27
Bahia,Mundo Novo,8691,79.68,2216,20.32
Bahia,Muniz Ferreira,4950,80.02,1236,19.98
Bahia,Muquém Do São Francisco,5516,77.71,1582,22.29
Bahia,Muritiba,14163,82.89,2923,17.11
Bahia,Mutuípe,9774,73.72,3484,26.28
Bahia,Nazaré,13124,77.46,3818,22.54
Bahia,Nilo Peçanha,5258,75.51,1705,24.49
Bahia,Nordestina,6280,83.32,1257,16.68
Bahia,Nova Canaã,7188,79.69,1832,20.31
Bahia,Nova Fátima,4372,75.97,1383,24.03
Bahia,Nova Ibiá,2487,65.6,1304,34.4
Bahia,Nova Itarana,3700,76.91,1111,23.09
Bahia,Nova Redenção,4224,88.57,545,11.43
Bahia,Nova Soure,13341,86.8,2029,13.2
Bahia,Nova Viçosa,11687,52.78,10455,47.22
Bahia,Novo Horizonte,5701,79.1,1506,20.9
Bahia,Novo Triunfo,4787,81.65,1076,18.35
Bahia,Olindina,12180,84.86,2173,15.14
Bahia,Oliveira Dos Brejinhos,10397,82.2,2252,17.8
Bahia,Ouriçangas,4295,85.3,740,14.7
Bahia,Ourolândia,6494,62.41,3911,37.59
Bahia,Palmas De Monte Alto,11456,85.14,2000,14.86
Bahia,Palmeiras,5261,86.25,839,13.75
Bahia,Paramirim,10430,80.8,2479,19.2
Bahia,Paratinga,15360,84.61,2794,15.39
Bahia,Paripiranga,14495,81.55,3279,18.45
Bahia,Pau Brasil,3257,58.42,2318,41.58
Bahia,Paulo Afonso,49734,78.97,13241,21.03
Bahia,Pé De Serra,6191,68.21,2886,31.79
Bahia,Pedrão,4327,88.87,542,11.13
Bahia,Pedro Alexandre,6252,85.68,1045,14.32
Bahia,Piatã,9170,76.29,2850,23.71
Bahia,Pilão Arcado,17222,84.77,3093,15.23
Bahia,Pindaí,8136,80.91,1919,19.09
Bahia,Pindobaçu,8354,70.74,3455,29.26
Bahia,Pintadas,4043,64.67,2209,35.33
Bahia,Piraí Do Norte,3779,75.02,1258,24.98
Bahia,Piripá,4807,79.11,1269,20.89
Bahia,Piritiba,7926,75.81,2529,24.19
Bahia,Planaltino,4190,82.5,889,17.5
Bahia,Planalto,10576,71.74,4166,28.26
Bahia,Poções,20662,75.92,6553,24.08
Bahia,Pojuca,16332,77.59,4717,22.41
Bahia,Ponto Novo,7915,78.99,2105,21.01
Bahia,Porto Seguro,44418,56.73,33883,43.27
Bahia,Potiraguá,3648,63.99,2053,36.01
Bahia,Prado,9568,56.37,7407,43.63
Bahia,Presidente Dutra,8398,88.4,1102,11.6
Bahia,Presidente Jânio Quadros,6308,83.59,1238,16.41
